Question,True Answer,answers,MCQs,3_MC,2_MC
计算恒定刺激法实验结果的方法不包括?,差别阈限法,"['最小二乘法', '直线内插法', '平均Z分数法']",请选择一个正确选项。计算恒定刺激法实验结果的方法不包括?：A 差别阈限法 ，B 最小二乘法 ，C 直线内插法，D 平均Z分数法。只能选择一个选项，禁止解释。,请选择一个正确选项。计算恒定刺激法实验结果的方法不包括?：A 最小二乘法 ，B  直线内插法 ，C 差别阈限法。只能选择一个选项，禁止解释。,请选择一个正确选项。计算恒定刺激法实验结果的方法不包括?：A 最小二乘法 ，B 差别阈限法。只能选择一个选项，禁止解释。
不影响单词记忆效果的因素是？,单词的笔划,"['单词的频率', '单词的意义', '单词在测试字单中的位置']",请选择一个正确选项。不影响单词记忆效果的因素是？：A 单词的频率 ，B 单词的意义 ，C 单词的笔划，D 单词在测试字单中的位置。只能选择一个选项，禁止解释。,请选择一个正确选项。不影响单词记忆效果的因素是？：A 单词的频率 ，B  单词的意义 ，C 单词的笔划。只能选择一个选项，禁止解释。,请选择一个正确选项。不影响单词记忆效果的因素是？：A 单词的频率 ，B 单词的笔划。只能选择一个选项，禁止解释。
个案法不适宜于研究的对象有?,狼孩,"['母亲语言与孩子语言的关系', '一个具有超常记忆力的人', '神童']",请选择一个正确选项。个案法不适宜于研究的对象有?：A 母亲语言与孩子语言的关系 ，B 狼孩 ，C 一个具有超常记忆力的人，D 神童。只能选择一个选项，禁止解释。,请选择一个正确选项。个案法不适宜于研究的对象有?：A 母亲语言与孩子语言的关系 ，B  一个具有超常记忆力的人 ，C 狼孩。只能选择一个选项，禁止解释。,请选择一个正确选项。个案法不适宜于研究的对象有?：A 母亲语言与孩子语言的关系 ，B 狼孩。只能选择一个选项，禁止解释。
反应时不受下列哪些因素的影响?,智力,"['额外动机', '预备时间', '年龄']",请选择一个正确选项。反应时不受下列哪些因素的影响?：A 额外动机 ，B 预备时间 ，C 智力，D 年龄。只能选择一个选项，禁止解释。,请选择一个正确选项。反应时不受下列哪些因素的影响?：A 额外动机 ，B  预备时间 ，C 智力。只能选择一个选项，禁止解释。,请选择一个正确选项。反应时不受下列哪些因素的影响?：A 额外动机 ，B 智力。只能选择一个选项，禁止解释。
下列词对中哪个不属于联系群集？,狗-房屋,"['粉笔-黑板', '桌子-椅子', '男人-女人']",请选择一个正确选项。下列词对中哪个不属于联系群集？：A 粉笔-黑板 ，B 桌子-椅子 ，C 男人-女人，D 狗-房屋。只能选择一个选项，禁止解释。,请选择一个正确选项。下列词对中哪个不属于联系群集？：A 粉笔-黑板 ，B  桌子-椅子 ，C 狗-房屋。只能选择一个选项，禁止解释。,请选择一个正确选项。下列词对中哪个不属于联系群集？：A 粉笔-黑板 ，B 狗-房屋。只能选择一个选项，禁止解释。
"八斩刀是咏春唯二的器械之一,但是在电影中,八斩刀却没有统一的形象。电影《师父》中关于八斩刀说法错误的是?","电影当中,是由金士杰饰演的郑山傲使用八斩刀这一武器","['八斩刀精华为两个字,一刺一劏,说到底是一个字——劏', '八斩刀的刀柄要有斜度,不能平直,刀尖背上要开反刃', '“八斩刀”不是刀法名称,而是刀的名号']","请选择一个正确选项。八斩刀是咏春唯二的器械之一,但是在电影中,八斩刀却没有统一的形象。电影《师父》中关于八斩刀说法错误的是?：A 电影当中,是由金士杰饰演的郑山傲使用八斩刀这一武器 ，B 八斩刀精华为两个字,一刺一劏,说到底是一个字——劏 ，C 八斩刀的刀柄要有斜度,不能平直,刀尖背上要开反刃，D “八斩刀”不是刀法名称,而是刀的名号。只能选择一个选项，禁止解释。","请选择一个正确选项。八斩刀是咏春唯二的器械之一,但是在电影中,八斩刀却没有统一的形象。电影《师父》中关于八斩刀说法错误的是?：A 八斩刀精华为两个字 ，B 一刺一劏 ，C 电影当中,是由金士杰饰演的郑山傲使用八斩刀这一武器。只能选择一个选项，禁止解释。","请选择一个正确选项。八斩刀是咏春唯二的器械之一,但是在电影中,八斩刀却没有统一的形象。电影《师父》中关于八斩刀说法错误的是?：A 八斩刀精华为两个字 ，B 电影当中,是由金士杰饰演的郑山傲使用八斩刀这一武器。只能选择一个选项，禁止解释。"
"以下哪部电影用反差的手法隐晦了所谓的武林,所谓的高手,所谓的门派都经不起推敲,江湖传说仅仅凭主观意淫后的人云亦云?",《倭寇的踪迹》,"['《双旗镇刀客》', '《武侠》', '《天涯明月刀》']","请选择一个正确选项。以下哪部电影用反差的手法隐晦了所谓的武林,所谓的高手,所谓的门派都经不起推敲,江湖传说仅仅凭主观意淫后的人云亦云?：A 《双旗镇刀客》 ，B 《武侠》 ，C 《倭寇的踪迹》，D 《天涯明月刀》。只能选择一个选项，禁止解释。","请选择一个正确选项。以下哪部电影用反差的手法隐晦了所谓的武林,所谓的高手,所谓的门派都经不起推敲,江湖传说仅仅凭主观意淫后的人云亦云?：A 《双旗镇刀客》 ，B  《武侠》 ，C 《倭寇的踪迹》。只能选择一个选项，禁止解释。","请选择一个正确选项。以下哪部电影用反差的手法隐晦了所谓的武林,所谓的高手,所谓的门派都经不起推敲,江湖传说仅仅凭主观意淫后的人云亦云?：A 《双旗镇刀客》 ，B 《倭寇的踪迹》。只能选择一个选项，禁止解释。"
哪个不是以侠义为主题的影片?,《东邪西毒》,"['《倩女幽魂》', '《笑傲江湖》', '《沧海一声笑》']",请选择一个正确选项。哪个不是以侠义为主题的影片?：A 《倩女幽魂》 ，B 《笑傲江湖》 ，C 《沧海一声笑》，D 《东邪西毒》。只能选择一个选项，禁止解释。,请选择一个正确选项。哪个不是以侠义为主题的影片?：A 《倩女幽魂》 ，B  《笑傲江湖》 ，C 《东邪西毒》。只能选择一个选项，禁止解释。,请选择一个正确选项。哪个不是以侠义为主题的影片?：A 《倩女幽魂》 ，B 《东邪西毒》。只能选择一个选项，禁止解释。
"以下哪部电影不仅是向当年李小龙的《精武门》的一次致敬,但同时也是一次超越?",《精武英雄》,"['《龙门飞甲》', '《新龙门客栈》', '《英雄》']","请选择一个正确选项。以下哪部电影不仅是向当年李小龙的《精武门》的一次致敬,但同时也是一次超越?：A 《精武英雄》 ，B 《龙门飞甲》 ，C 《新龙门客栈》，D 《英雄》。只能选择一个选项，禁止解释。","请选择一个正确选项。以下哪部电影不仅是向当年李小龙的《精武门》的一次致敬,但同时也是一次超越?：A 《龙门飞甲》 ，B  《新龙门客栈》 ，C 《精武英雄》。只能选择一个选项，禁止解释。","请选择一个正确选项。以下哪部电影不仅是向当年李小龙的《精武门》的一次致敬,但同时也是一次超越?：A 《龙门飞甲》 ，B 《精武英雄》。只能选择一个选项，禁止解释。"
对于类型电影的说法错误的是?,"从电影叙事与现实世界的关系来划分,如故事片,纪录片等","['在虚构类故事片中形成了相对固定的叙事模式', '按照不同类型或样式的规定制作出来的影片', '类型电影成败的标准是商业票房的高低']","请选择一个正确选项。对于类型电影的说法错误的是?：A 在虚构类故事片中形成了相对固定的叙事模式 ，B 从电影叙事与现实世界的关系来划分,如故事片,纪录片等 ，C 按照不同类型或样式的规定制作出来的影片，D 类型电影成败的标准是商业票房的高低。只能选择一个选项，禁止解释。","请选择一个正确选项。对于类型电影的说法错误的是?：A 在虚构类故事片中形成了相对固定的叙事模式 ，B  按照不同类型或样式的规定制作出来的影片 ，C 从电影叙事与现实世界的关系来划分,如故事片,纪录片等。只能选择一个选项，禁止解释。","请选择一个正确选项。对于类型电影的说法错误的是?：A 在虚构类故事片中形成了相对固定的叙事模式 ，B 从电影叙事与现实世界的关系来划分,如故事片,纪录片等。只能选择一个选项，禁止解释。"
下面属魏晋南北朝时期画家的有?,"卫协,顾恺之","['吴道子,杨子华', '陆探微,赵霖', '展子虔,王蒙']","请选择一个正确选项。下面属魏晋南北朝时期画家的有?：A 卫协,顾恺之 ，B 吴道子,杨子华 ，C 陆探微,赵霖，D 展子虔,王蒙。只能选择一个选项，禁止解释。","请选择一个正确选项。下面属魏晋南北朝时期画家的有?：A 吴道子 ，B 杨子华 ，C 卫协,顾恺之。只能选择一个选项，禁止解释。","请选择一个正确选项。下面属魏晋南北朝时期画家的有?：A 吴道子 ，B 卫协,顾恺之。只能选择一个选项，禁止解释。"
"“近代丹青维最豪,南有赵魏北有高。”指和____高克恭齐名。",赵孟頫,"['赵孟坚', '赵之谦', '赵左']","请选择一个正确选项。“近代丹青维最豪,南有赵魏北有高。”指和____高克恭齐名。：A 赵孟坚 ，B 赵孟頫 ，C 赵之谦，D 赵左。只能选择一个选项，禁止解释。","请选择一个正确选项。“近代丹青维最豪,南有赵魏北有高。”指和____高克恭齐名。：A 赵孟坚 ，B  赵之谦 ，C 赵孟頫。只能选择一个选项，禁止解释。","请选择一个正确选项。“近代丹青维最豪,南有赵魏北有高。”指和____高克恭齐名。：A 赵孟坚 ，B 赵孟頫。只能选择一个选项，禁止解释。"
阎立本的代表作有?,《历代帝王图》,"['《女史箴图》', '《洛神赋图》', '《列女图》']",请选择一个正确选项。阎立本的代表作有?：A 《女史箴图》 ，B 《历代帝王图》 ，C 《洛神赋图》，D 《列女图》。只能选择一个选项，禁止解释。,请选择一个正确选项。阎立本的代表作有?：A 《女史箴图》 ，B  《洛神赋图》 ，C 《历代帝王图》。只能选择一个选项，禁止解释。,请选择一个正确选项。阎立本的代表作有?：A 《女史箴图》 ，B 《历代帝王图》。只能选择一个选项，禁止解释。
"展子虔被称作“唐画之祖”,代表作品有?",《游春图》,"['《步辇图》', '《五马图》', '《伏生授经图》']","请选择一个正确选项。展子虔被称作“唐画之祖”,代表作品有?：A 《步辇图》 ，B 《游春图》 ，C 《五马图》，D 《伏生授经图》。只能选择一个选项，禁止解释。","请选择一个正确选项。展子虔被称作“唐画之祖”,代表作品有?：A 《步辇图》 ，B  《五马图》 ，C 《游春图》。只能选择一个选项，禁止解释。","请选择一个正确选项。展子虔被称作“唐画之祖”,代表作品有?：A 《步辇图》 ，B 《游春图》。只能选择一个选项，禁止解释。"
《历代名画记》作者为?,张彦远,"['朱景玄', '裴孝源', '李重润']",请选择一个正确选项。《历代名画记》作者为?：A 朱景玄 ，B 裴孝源 ，C 张彦远，D 李重润。只能选择一个选项，禁止解释。,请选择一个正确选项。《历代名画记》作者为?：A 朱景玄 ，B  裴孝源 ，C 张彦远。只能选择一个选项，禁止解释。,请选择一个正确选项。《历代名画记》作者为?：A 朱景玄 ，B 张彦远。只能选择一个选项，禁止解释。
关于坡面与侵蚀强度关系的叙述，正确的是？,坡度40度左右，坡面侵蚀强度最大,"['坡面侵蚀强度随坡度增大而增大', '20～40度之间坡度侵蚀强度随坡度增加最快', '40～90度之间，坡面侵蚀强度随坡度增加变化不大']",请选择一个正确选项。关于坡面与侵蚀强度关系的叙述，正确的是？：A 坡面侵蚀强度随坡度增大而增大 ，B 20～40度之间坡度侵蚀强度随坡度增加最快 ，C 坡度40度左右，坡面侵蚀强度最大，D 40～90度之间，坡面侵蚀强度随坡度增加变化不大。只能选择一个选项，禁止解释。,请选择一个正确选项。关于坡面与侵蚀强度关系的叙述，正确的是？：A 坡面侵蚀强度随坡度增大而增大 ，B  20～40度之间坡度侵蚀强度随坡度增加最快 ，C 坡度40度左右，坡面侵蚀强度最大。只能选择一个选项，禁止解释。,请选择一个正确选项。关于坡面与侵蚀强度关系的叙述，正确的是？：A 坡面侵蚀强度随坡度增大而增大 ，B 坡度40度左右，坡面侵蚀强度最大。只能选择一个选项，禁止解释。
关于南方低山丘陵水土流失成因的叙述，不正确的是？,山坡十分陡峭,"['植被破坏', '降水量大', '人多地少']",请选择一个正确选项。关于南方低山丘陵水土流失成因的叙述，不正确的是？：A 植被破坏 ，B 降水量大 ，C 山坡十分陡峭，D 人多地少。只能选择一个选项，禁止解释。,请选择一个正确选项。关于南方低山丘陵水土流失成因的叙述，不正确的是？：A 植被破坏 ，B  降水量大 ，C 山坡十分陡峭。只能选择一个选项，禁止解释。,请选择一个正确选项。关于南方低山丘陵水土流失成因的叙述，不正确的是？：A 植被破坏 ，B 山坡十分陡峭。只能选择一个选项，禁止解释。
2002年，在国内生产总值中，长江三角洲15个城市第一、二、三产业的比例达到6％、52％、42％，这个比值说明？,长江三角洲城市化水平较高，且发展稳定,"['长江三角洲带的兴起可以脱离第一产业的支持', '三次产业比例失调，城市发展不合理', '当地农村人口已全部转化为城镇人口']",请选择一个正确选项。2002年，在国内生产总值中，长江三角洲15个城市第一、二、三产业的比例达到6％、52％、42％，这个比值说明？：A 长江三角洲带的兴起可以脱离第一产业的支持 ，B 长江三角洲城市化水平较高，且发展稳定 ，C 三次产业比例失调，城市发展不合理，D 当地农村人口已全部转化为城镇人口。只能选择一个选项，禁止解释。,请选择一个正确选项。2002年，在国内生产总值中，长江三角洲15个城市第一、二、三产业的比例达到6％、52％、42％，这个比值说明？：A 长江三角洲带的兴起可以脱离第一产业的支持 ，B  三次产业比例失调，城市发展不合理 ，C 长江三角洲城市化水平较高，且发展稳定。只能选择一个选项，禁止解释。,请选择一个正确选项。2002年，在国内生产总值中，长江三角洲15个城市第一、二、三产业的比例达到6％、52％、42％，这个比值说明？：A 长江三角洲带的兴起可以脱离第一产业的支持 ，B 长江三角洲城市化水平较高，且发展稳定。只能选择一个选项，禁止解释。
长三角都市圈、纽约都市圈、北美五大湖都市圈、东京都市圈、巴黎都市圈、伦敦都市圈六大城市圈的共同特征是？,平坦的地形,"['丰富的矿产资源', '暖湿气候', '便利的海运']",请选择一个正确选项。长三角都市圈、纽约都市圈、北美五大湖都市圈、东京都市圈、巴黎都市圈、伦敦都市圈六大城市圈的共同特征是？：A 丰富的矿产资源 ，B 暖湿气候 ，C 平坦的地形，D 便利的海运。只能选择一个选项，禁止解释。,请选择一个正确选项。长三角都市圈、纽约都市圈、北美五大湖都市圈、东京都市圈、巴黎都市圈、伦敦都市圈六大城市圈的共同特征是？：A 丰富的矿产资源 ，B  暖湿气候 ，C 平坦的地形。只能选择一个选项，禁止解释。,请选择一个正确选项。长三角都市圈、纽约都市圈、北美五大湖都市圈、东京都市圈、巴黎都市圈、伦敦都市圈六大城市圈的共同特征是？：A 丰富的矿产资源 ，B 平坦的地形。只能选择一个选项，禁止解释。
我国天然橡胶的消费2000年以来快速增长主要是因为下列哪个工业的快速发展？,汽车工业,"['服装工业', 'IT工业', '钢铁工业']",请选择一个正确选项。我国天然橡胶的消费2000年以来快速增长主要是因为下列哪个工业的快速发展？：A 服装工业 ，B IT工业 ，C 汽车工业，D 钢铁工业。只能选择一个选项，禁止解释。,请选择一个正确选项。我国天然橡胶的消费2000年以来快速增长主要是因为下列哪个工业的快速发展？：A 服装工业 ，B  IT工业 ，C 汽车工业。只能选择一个选项，禁止解释。,请选择一个正确选项。我国天然橡胶的消费2000年以来快速增长主要是因为下列哪个工业的快速发展？：A 服装工业 ，B 汽车工业。只能选择一个选项，禁止解释。
西藏牧区的主要畜种是?,牦牛,"['滩羊', '三河马', '细毛羊']",请选择一个正确选项。西藏牧区的主要畜种是?：A 滩羊 ，B 三河马 ，C 牦牛，D 细毛羊。只能选择一个选项，禁止解释。,请选择一个正确选项。西藏牧区的主要畜种是?：A 滩羊 ，B  三河马 ，C 牦牛。只能选择一个选项，禁止解释。,请选择一个正确选项。西藏牧区的主要畜种是?：A 滩羊 ，B 牦牛。只能选择一个选项，禁止解释。
衡量一个国家综合经济实力的重要标志是?,钢铁工业,"['石油工业', '化学工业', '机械工业']",请选择一个正确选项。衡量一个国家综合经济实力的重要标志是?：A 钢铁工业 ，B 石油工业 ，C 化学工业，D 机械工业。只能选择一个选项，禁止解释。,请选择一个正确选项。衡量一个国家综合经济实力的重要标志是?：A 石油工业 ，B  化学工业 ，C 钢铁工业。只能选择一个选项，禁止解释。,请选择一个正确选项。衡量一个国家综合经济实力的重要标志是?：A 石油工业 ，B 钢铁工业。只能选择一个选项，禁止解释。
我国主要的交通运输方式是?,铁路,"['公路', '管道', '河运']",请选择一个正确选项。我国主要的交通运输方式是?：A 公路 ，B 铁路 ，C 管道，D 河运。只能选择一个选项，禁止解释。,请选择一个正确选项。我国主要的交通运输方式是?：A 公路 ，B  管道 ，C 铁路。只能选择一个选项，禁止解释。,请选择一个正确选项。我国主要的交通运输方式是?：A 公路 ，B 铁路。只能选择一个选项，禁止解释。
我国北方沿海航区以____为中心。,大连、秦皇岛,"['天津、上海', '上海、大连', '上海、青岛']",请选择一个正确选项。我国北方沿海航区以____为中心。：A 天津、上海 ，B 上海、大连 ，C 大连、秦皇岛，D 上海、青岛。只能选择一个选项，禁止解释。,请选择一个正确选项。我国北方沿海航区以____为中心。：A 天津、上海 ，B  上海、大连 ，C 大连、秦皇岛。只能选择一个选项，禁止解释。,请选择一个正确选项。我国北方沿海航区以____为中心。：A 天津、上海 ，B 大连、秦皇岛。只能选择一个选项，禁止解释。
我国季风形成的主要原因是我国?,"背靠世界最大的大陆,面对世界最大的大洋,海陆热力差异最大","['南北纬度跨度大', '西经度跨度大', '地形多种多样']","请选择一个正确选项。我国季风形成的主要原因是我国?：A 背靠世界最大的大陆,面对世界最大的大洋,海陆热力差异最大 ，B 南北纬度跨度大 ，C 西经度跨度大，D 地形多种多样。只能选择一个选项，禁止解释。","请选择一个正确选项。我国季风形成的主要原因是我国?：A 南北纬度跨度大 ，B  西经度跨度大 ，C 背靠世界最大的大陆,面对世界最大的大洋,海陆热力差异最大。只能选择一个选项，禁止解释。","请选择一个正确选项。我国季风形成的主要原因是我国?：A 南北纬度跨度大 ，B 背靠世界最大的大陆,面对世界最大的大洋,海陆热力差异最大。只能选择一个选项，禁止解释。"
提出天人关系应当“交相胜，还相用”的观点是?,刘禹锡,"['韩愈', '柳宗元', '白居易']",请选择一个正确选项。提出天人关系应当“交相胜，还相用”的观点是?：A 韩愈 ，B 柳宗元 ，C 刘禹锡，D 白居易。只能选择一个选项，禁止解释。,请选择一个正确选项。提出天人关系应当“交相胜，还相用”的观点是?：A 韩愈 ，B  柳宗元 ，C 刘禹锡。只能选择一个选项，禁止解释。,请选择一个正确选项。提出天人关系应当“交相胜，还相用”的观点是?：A 韩愈 ，B 刘禹锡。只能选择一个选项，禁止解释。
唐玄宗开元年间，募兵制取代府兵制之后，用于镇守京师的称为?,彍骑,"['长征', '健儿', '左右卫']",请选择一个正确选项。唐玄宗开元年间，募兵制取代府兵制之后，用于镇守京师的称为?：A 长征 ，B 健儿 ，C 左右卫，D 彍骑。只能选择一个选项，禁止解释。,请选择一个正确选项。唐玄宗开元年间，募兵制取代府兵制之后，用于镇守京师的称为?：A 长征 ，B  健儿 ，C 彍骑。只能选择一个选项，禁止解释。,请选择一个正确选项。唐玄宗开元年间，募兵制取代府兵制之后，用于镇守京师的称为?：A 长征 ，B 彍骑。只能选择一个选项，禁止解释。
唐代农业取得了很大的进步，其中这一时期先进的耕地工具是?,曲辕犁,"['水车', '翻车', '二牛抬杠']",请选择一个正确选项。唐代农业取得了很大的进步，其中这一时期先进的耕地工具是?：A 水车 ，B 翻车 ，C 二牛抬杠，D 曲辕犁。只能选择一个选项，禁止解释。,请选择一个正确选项。唐代农业取得了很大的进步，其中这一时期先进的耕地工具是?：A 水车 ，B  翻车 ，C 曲辕犁。只能选择一个选项，禁止解释。,请选择一个正确选项。唐代农业取得了很大的进步，其中这一时期先进的耕地工具是?：A 水车 ，B 曲辕犁。只能选择一个选项，禁止解释。
《大唐西域求法高增传》记述了印度、巴基斯坦等国的人文地理，其作者是?,义净,"['玄奘', '鉴真', '一行']",请选择一个正确选项。《大唐西域求法高增传》记述了印度、巴基斯坦等国的人文地理，其作者是?：A 玄奘 ，B 义净 ，C 鉴真，D 一行。只能选择一个选项，禁止解释。,请选择一个正确选项。《大唐西域求法高增传》记述了印度、巴基斯坦等国的人文地理，其作者是?：A 玄奘 ，B  鉴真 ，C 义净。只能选择一个选项，禁止解释。,请选择一个正确选项。《大唐西域求法高增传》记述了印度、巴基斯坦等国的人文地理，其作者是?：A 玄奘 ，B 义净。只能选择一个选项，禁止解释。
唐代在广州设立管理对外商务的是?,市舶使,"['市舶司', '澎湖巡检司', '提点刑狱司']",请选择一个正确选项。唐代在广州设立管理对外商务的是?：A 市舶司 ，B 市舶使 ，C 澎湖巡检司，D 提点刑狱司。只能选择一个选项，禁止解释。,请选择一个正确选项。唐代在广州设立管理对外商务的是?：A 市舶司 ，B  澎湖巡检司 ，C 市舶使。只能选择一个选项，禁止解释。,请选择一个正确选项。唐代在广州设立管理对外商务的是?：A 市舶司 ，B 市舶使。只能选择一个选项，禁止解释。
奴隶社会学校教育的最主要的内容是典章制度教育和?,武功之学,"['生产劳动教育', '礼乐教育', '书术教育']",请选择一个正确选项。奴隶社会学校教育的最主要的内容是典章制度教育和?：A 武功之学 ，B 生产劳动教育 ，C 礼乐教育，D 书术教育。只能选择一个选项，禁止解释。,请选择一个正确选项。奴隶社会学校教育的最主要的内容是典章制度教育和?：A 生产劳动教育 ，B  礼乐教育 ，C 武功之学。只能选择一个选项，禁止解释。,请选择一个正确选项。奴隶社会学校教育的最主要的内容是典章制度教育和?：A 生产劳动教育 ，B 武功之学。只能选择一个选项，禁止解释。
"对教师如何教的问题,孔子提出了最著名的____原则。",启发诱导,"['教亦多术', '教学相长', '有教无类']","请选择一个正确选项。对教师如何教的问题,孔子提出了最著名的____原则。：A 启发诱导 ，B 教亦多术 ，C 教学相长，D 有教无类。只能选择一个选项，禁止解释。","请选择一个正确选项。对教师如何教的问题,孔子提出了最著名的____原则。：A 教亦多术 ，B  教学相长 ，C 启发诱导。只能选择一个选项，禁止解释。","请选择一个正确选项。对教师如何教的问题,孔子提出了最著名的____原则。：A 教亦多术 ，B 启发诱导。只能选择一个选项，禁止解释。"
"古代中国学校教育的主要内容是六艺,它包括?",礼、乐、射、御、书、数,"['礼、乐、射、辞、书、数', '文法、修辞、辩证法、礼乐、书数、射御', '算术、几何、文法、辩证法、天文、书数']","请选择一个正确选项。古代中国学校教育的主要内容是六艺,它包括?：A 礼、乐、射、辞、书、数 ，B 文法、修辞、辩证法、礼乐、书数、射御 ，C 算术、几何、文法、辩证法、天文、书数，D 礼、乐、射、御、书、数。只能选择一个选项，禁止解释。","请选择一个正确选项。古代中国学校教育的主要内容是六艺,它包括?：A 礼、乐、射、辞、书、数 ，B  文法、修辞、辩证法、礼乐、书数、射御 ，C 礼、乐、射、御、书、数。只能选择一个选项，禁止解释。","请选择一个正确选项。古代中国学校教育的主要内容是六艺,它包括?：A 礼、乐、射、辞、书、数 ，B 礼、乐、射、御、书、数。只能选择一个选项，禁止解释。"
"孔子认为道德修养的方法中,很重要的一点是要“克己内省”,也就是说要?",“躬自厚而薄责于人”,"['“过而勿惮改”', '“言必信,行必果”', '“一以贯之”']","请选择一个正确选项。孔子认为道德修养的方法中,很重要的一点是要“克己内省”,也就是说要?：A “躬自厚而薄责于人” ，B “过而勿惮改” ，C “言必信,行必果”，D “一以贯之”。只能选择一个选项，禁止解释。","请选择一个正确选项。孔子认为道德修养的方法中,很重要的一点是要“克己内省”,也就是说要?：A “过而勿惮改” ，B  “言必信 ，C “躬自厚而薄责于人”。只能选择一个选项，禁止解释。","请选择一个正确选项。孔子认为道德修养的方法中,很重要的一点是要“克己内省”,也就是说要?：A “过而勿惮改” ，B “躬自厚而薄责于人”。只能选择一个选项，禁止解释。"
"西周国学,天子之学称“辟雍”,诸侯之学称?",泮宫,"['明堂', '国子监', '乡校']","请选择一个正确选项。西周国学,天子之学称“辟雍”,诸侯之学称?：A 明堂 ，B 国子监 ，C 乡校，D 泮宫。只能选择一个选项，禁止解释。","请选择一个正确选项。西周国学,天子之学称“辟雍”,诸侯之学称?：A 明堂 ，B  国子监 ，C 泮宫。只能选择一个选项，禁止解释。","请选择一个正确选项。西周国学,天子之学称“辟雍”,诸侯之学称?：A 明堂 ，B 泮宫。只能选择一个选项，禁止解释。"
蒙台梭利认为儿童生命力的发展____一种节律。,呈现,"['不可能存在', '未发现', '不呈现']",请选择一个正确选项。蒙台梭利认为儿童生命力的发展____一种节律。：A 不可能存在 ，B 未发现 ，C 不呈现，D 呈现。只能选择一个选项，禁止解释。,请选择一个正确选项。蒙台梭利认为儿童生命力的发展____一种节律。：A 不可能存在 ，B  未发现 ，C 呈现。只能选择一个选项，禁止解释。,请选择一个正确选项。蒙台梭利认为儿童生命力的发展____一种节律。：A 不可能存在 ，B 呈现。只能选择一个选项，禁止解释。
下列不属乌申斯基师范教育观的是?,"师范生的见习期可有可无,若有最长不易超过半年","['师范教育重要', '师范学校应设在小市镇或乡村,师范生一律住校', '师范生要有优秀的品质并要掌握广泛的知识']","请选择一个正确选项。下列不属乌申斯基师范教育观的是?：A 师范教育重要 ，B 师范学校应设在小市镇或乡村,师范生一律住校 ，C 师范生的见习期可有可无,若有最长不易超过半年，D 师范生要有优秀的品质并要掌握广泛的知识。只能选择一个选项，禁止解释。","请选择一个正确选项。下列不属乌申斯基师范教育观的是?：A 师范教育重要 ，B  师范学校应设在小市镇或乡村 ，C 师范生的见习期可有可无,若有最长不易超过半年。只能选择一个选项，禁止解释。","请选择一个正确选项。下列不属乌申斯基师范教育观的是?：A 师范教育重要 ，B 师范生的见习期可有可无,若有最长不易超过半年。只能选择一个选项，禁止解释。"
1886年日本的东京大学改称?,帝国大学,"['市立大学', '私立大学', '国立大学']",请选择一个正确选项。1886年日本的东京大学改称?：A 市立大学 ，B 私立大学 ，C 国立大学，D 帝国大学。只能选择一个选项，禁止解释。,请选择一个正确选项。1886年日本的东京大学改称?：A 市立大学 ，B  私立大学 ，C 帝国大学。只能选择一个选项，禁止解释。,请选择一个正确选项。1886年日本的东京大学改称?：A 市立大学 ，B 帝国大学。只能选择一个选项，禁止解释。
最能体现卢梭关于教育思想的著作是?,《爱弥儿》,"['《社会契约论》', '《忏悔录》', '《新衰绿猗丝》']",请选择一个正确选项。最能体现卢梭关于教育思想的著作是?：A 《社会契约论》 ，B 《忏悔录》 ，C 《爱弥儿》，D 《新衰绿猗丝》。只能选择一个选项，禁止解释。,请选择一个正确选项。最能体现卢梭关于教育思想的著作是?：A 《社会契约论》 ，B  《忏悔录》 ，C 《爱弥儿》。只能选择一个选项，禁止解释。,请选择一个正确选项。最能体现卢梭关于教育思想的著作是?：A 《社会契约论》 ，B 《爱弥儿》。只能选择一个选项，禁止解释。
下列在赞科夫的教育实验方案制定的指导思想中没有的是?,控制论,"['系统论', '矛盾论', '实验心理学']",请选择一个正确选项。下列在赞科夫的教育实验方案制定的指导思想中没有的是?：A 控制论 ，B 系统论 ，C 矛盾论，D 实验心理学。只能选择一个选项，禁止解释。,请选择一个正确选项。下列在赞科夫的教育实验方案制定的指导思想中没有的是?：A 系统论 ，B  矛盾论 ，C 控制论。只能选择一个选项，禁止解释。,请选择一个正确选项。下列在赞科夫的教育实验方案制定的指导思想中没有的是?：A 系统论 ，B 控制论。只能选择一个选项，禁止解释。
南京临时政府在总统之下设法制局，负责起草重要法令，其主持人是？,宋教仁,"['孙润宇', '雷奋', '马君武']",请选择一个正确选项。南京临时政府在总统之下设法制局，负责起草重要法令，其主持人是？：A 宋教仁 ，B 孙润宇 ，C 雷奋，D 马君武。只能选择一个选项，禁止解释。,请选择一个正确选项。南京临时政府在总统之下设法制局，负责起草重要法令，其主持人是？：A 孙润宇 ，B  雷奋 ，C 宋教仁。只能选择一个选项，禁止解释。,请选择一个正确选项。南京临时政府在总统之下设法制局，负责起草重要法令，其主持人是？：A 孙润宇 ，B 宋教仁。只能选择一个选项，禁止解释。
